Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Date,Price_numeric
3 Bedroom Penthouse Flat With Bq And Elevator,"Agungi, Lekki, Lagos","₦155,000,000",Bankofproperty Ltd 08061******,3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/agungi/3364401-3-bedroom-penthouse-flat-with-bq-and-elevator,2026-03-28,155000000
3 Bedroom With Bq,"Lekki Phase 1, Lekki, Lagos","₦330,000,000",Joe Etoniru And Associates 09034******,3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3356374-3-bedroom-with-bq,2026-03-28,330000000
Three Bedroom Terrace,"Ajah, Lagos","₦120,000,000",Joe Etoniru And Associates 09034******,3,4,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3367236-three-bedroom-terrace,2026-03-28,120000000
Three Bedroom Terrace,"Ajah, Lagos","₦95,000,000",Joe Etoniru And Associates 09034******,3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3375209-three-bedroom-terrace,2026-03-28,95000000
3-Bedroom Flats With Maid's Room,"Ikeja, Lagos","₦220,000,000",Aiirolafin Real Estate Co. 09032******,3,3,4,2,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3409608-3-bedroom-flats-with-maids-room,2026-03-28,220000000
"Luxury Fully Furnished 3 Bedrooms Apartment With I Bed Bq,","Banana Island, Ikoyi, Lagos","₦1,200,000,000",Everypropertyng 07039******,3,3,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3409592-luxury-fully-furnished-3-bedrooms-apartment-with-i-bed-bq,2026-03-28,1200000000
Contemporary Newly Built 3 Bedroom Apartment,"Ikate, Lekki, Lagos","₦250,000,000",Home Connect Real Estate Ltd 08137******,3,4,4,3,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3409582-contemporary-newly-built-3-bedroom-apartment,2026-03-28,250000000
Exquisitely Built 3 Bedroom Apartment,"Ikeja GRA, Ikeja, Lagos","₦600,000,000",Raye Realtors 09019******,3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3393301-exquisitely-built-3-bedroom-apartment,2026-03-28,600000000
Newly Built 3 Bedroom Semi Detached Duplex In A Call To Access Estate,"Ogba, Ikeja, Lagos","₦200,000,000",Raye Realtors 09019******,3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/ogba/3399059-newly-built-3-bedroom-semi-detached-duplex-in-a-call-to-access-estate,2026-03-28,200000000
Newly Built 3 Bedroom Semi Detached Duplex With Bq In A Decent Area,"Olowora, Magodo, Lagos","₦135,000,000",Raye Realtors 09019******,3,3,4,N/A,N/A,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/olowora/3399179-newly-built-3-bedroom-semi-detached-duplex-with-bq-in-a-decent-area,2026-03-28,135000000
